[2024-02-14 13:04:29] openPR apiUrl: https://dev.azure.com/rdalbuquerque/explore-bubbletea/_apis/git/repositories/1cfdcfa6-4582-4dbd-98c7-d28a36f39245/pullrequests?api-version=7.1
[2024-02-14 13:04:29] openPR prParamsJson: {"description":"description\nis\nthe rest","sourceRefName":"refs/heads/master","targetRefName":"refs/heads/refs/heads/test-pr","title":"titleis 1st line"}
[2024-02-14 13:04:29] openPR response: {"$id":"1","innerException":null,"message":"TF401398: The pull request cannot be activated because the source and/or the target branch no longer exists, or the requested refs are not branches","typeName":"Microsoft.TeamFoundation.Git.Server.GitPullRequestCannotBeActivated, Microsoft.TeamFoundation.Git.Server","typeKey":"GitPullRequestCannotBeActivated","errorCode":0,"eventId":3000}
[2024-02-14 13:04:29] No runs found
[2024-02-14 13:04:29] No runs found
[2024-02-14 13:04:29] No runs found
[2024-02-14 13:04:31] No runs found
[2024-02-14 13:04:31] No runs found
[2024-02-14 13:04:31] No runs found
[2024-02-14 13:04:32] No runs found
[2024-02-14 13:04:32] No runs found
[2024-02-14 13:04:32] No runs found
[2024-02-14 13:04:33] No runs found
[2024-02-14 13:04:34] No runs found
[2024-02-14 13:04:34] No runs found
[2024-02-14 13:04:35] No runs found
[2024-02-14 13:04:35] No runs found
[2024-02-14 13:04:35] No runs found
[2024-02-14 13:04:36] No runs found
[2024-02-14 13:04:36] No runs found
[2024-02-14 13:04:36] No runs found
[2024-02-14 13:04:38] No runs found
[2024-02-14 13:04:38] No runs found
[2024-02-14 13:04:38] No runs found
[2024-02-14 13:04:39] No runs found
[2024-02-14 13:04:39] No runs found
[2024-02-14 13:04:39] No runs found
[2024-02-14 13:04:40] No runs found
[2024-02-14 13:04:41] No runs found
[2024-02-14 13:04:41] No runs found
[2024-02-14 13:04:42] No runs found
[2024-02-14 13:04:42] No runs found
[2024-02-14 13:04:42] No runs found
[2024-02-14 13:04:43] No runs found
[2024-02-14 13:04:43] No runs found
[2024-02-14 13:04:43] No runs found
[2024-02-14 13:04:45] No runs found
[2024-02-14 13:04:45] No runs found
[2024-02-14 13:04:45] No runs found
[2024-02-14 13:04:46] No runs found
[2024-02-14 13:04:46] No runs found
[2024-02-14 13:04:46] No runs found
[2024-02-14 13:04:47] No runs found
[2024-02-14 13:04:47] No runs found
[2024-02-14 13:04:47] No runs found
[2024-02-14 13:04:49] No runs found
[2024-02-14 13:04:49] No runs found
[2024-02-14 13:04:49] No runs found
[2024-02-14 13:04:50] No runs found
[2024-02-14 13:04:50] No runs found
[2024-02-14 13:04:50] No runs found
[2024-02-14 13:04:51] No runs found
[2024-02-14 13:04:51] No runs found
[2024-02-14 13:04:51] No runs found
[2024-02-14 13:04:53] No runs found
[2024-02-14 13:04:53] No runs found
[2024-02-14 13:04:53] No runs found
[2024-02-14 13:04:54] No runs found
[2024-02-14 13:04:54] No runs found
[2024-02-14 13:04:54] No runs found
[2024-02-14 13:04:55] No runs found
[2024-02-14 13:04:55] No runs found
[2024-02-14 13:04:55] No runs found
[2024-02-14 13:04:57] No runs found
[2024-02-14 13:04:57] No runs found
[2024-02-14 13:04:57] No runs found
[2024-02-14 13:04:58] No runs found
[2024-02-14 13:04:58] No runs found
[2024-02-14 13:04:58] No runs found
[2024-02-14 13:04:59] No runs found
[2024-02-14 13:04:59] No runs found
[2024-02-14 13:05:00] No runs found
[2024-02-14 13:05:01] No runs found
[2024-02-14 13:05:01] No runs found
[2024-02-14 13:05:01] No runs found
[2024-02-14 13:05:02] No runs found
